oldSerialNumber,_id,name,description,exerciseType,difficulty,category,tags,notes,rhythms,chords,style,authors,instructions,driveChartsLinks,expectedDurationLowerBoundValue,expectedDurationLowerBoundUnit,expectedDurationUpperBoundValue,expectedDurationUpperBoundUnit,createdAt,updatedAt,relatedExercises,scoreType,targetAudience,diagramStyle,explanationVideo,scoreCheckType,xpScore,skillsScore,feedback,linkToDriveFolder,Lead Sheet,Scale,Scale | Notes Names,Notes Names | Roots Names
,11,תרגיל אוקטבה אמצעית,,Piano Score Playing,1,,מתחילים,C4 | D4 | E4 | F4,רבע | חצי | שמינית | רבע מנוקד,,Lead Sheet,עירד דורון,מנגנה ואקורדים למתחילים בפורמט של Lead Sheet,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1BHU-Zu---riQGwQFom0gb97U7BtoLfno?usp=drive_link,https://drive.google.com/file/d/1mU5pz9sK4L113xR0Y9nGKoVAAVPTMQeO/view?usp=drive_link,,,
,12,תרגיל אוקטבה אמצעית,,Piano Score Playing,1,,מתחילים,C4 | D4,רבע | חצי,,דואט,עירד דורון,מנגינה פשוטה לתלמיד ביד ימין | וליווי בסיסי למורה ביד שמאל,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/15aWMmqFOLiRjS6m1kw7qaZinV9tiI5cv?usp=drive_link,https://drive.google.com/file/d/1mUP-wkM9lv-kdVE4IgCYLfDpNi72qqRf/view?usp=drive_link,,,
,13,תרגיל אוקטבה אמצעית,,Piano Score Playing,1,,מתחילים,C4 | D4,רבע | חצי | שלם,,דואט,עירד דורון,מנגינה פשוטה לתלמיד ביד ימין | ומנגינה מורכבת ליד שמאל בשביל המורה,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/17YmPhk5QkqSA51AV1tJFePXy0lPedha3?usp=drive_link,https://drive.google.com/file/d/1m_TsdZMZRjTEU6mr5vfya090hfgGe_5_/view?usp=drive_link,,,
,14,תרגיל אוקטבה אמצעית,,Piano Score Playing,1,,מתחילים,C4 | D4 | E4,רבע | חצי,,דואט,עירד דורון,מנגינה פשוטה לתלמיד ביד ימין | וליווי רגטיים ליד שמאל שהמורה צריך לנגן,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1RcWF41_ryzXOpSZmTpVAuWo0Pq-1yUj_?usp=drive_link,https://drive.google.com/file/d/1TCDcWOigsLqiYI89NUJw61Ky-RIbK4Ke/view?usp=drive_link,https://drive.google.com/file/d/1HaybXJhYBTu-SCh9XiAjf3Ddq2pgRr3i/view?usp=drive_link,,
,15,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,רבע | חצי | שלם,,שתי ידיים,עירד דורון,תבנית ליווי קבועה בשמאל | אלתורים בימין,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1OQ62tlTQcPvHk04HD7-BJfEuRwNZ26ok?usp=drive_link,https://drive.google.com/file/d/13NlMXoVAScfsYsr69UObbN_d29FW3xOz/view?usp=drive_link,,,
,16,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,רבע | חצי | חצי מנוקד | שלם,,שתי ידיים,עירד דורון,תבנית ליווי קבועה בשמאל | אלתורים בימין,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1VdvAq2zrNJXG0cw5Vse7hCSxx3wdutt1?usp=drive_link,https://drive.google.com/file/d/1Fp-jSBgk2hs7GU9dAYJGXky9VUJcUOMM/view?usp=drive_link,,,
,17,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,שתי ידיים,עירד דורון,תבנית ליווי קבועה בשמאל | אלתורים בימין,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/12B_MiTjM9YNv01hX3cN9r4ACBsunr8u2?usp=drive_link,https://drive.google.com/file/d/1lDHcvqluQn6e0mZDOuvAbXjeFrzzkk42/view?usp=drive_link,,,
,18,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,שתי ידיים,עירד דורון,תבנית ליווי קבועה בשמאל | אלתורים בימין,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1sHhib_Su4mqNuaz-6jBlhtSzIQWQKO8S?usp=drive_link,https://drive.google.com/file/d/1DDhWj3QWFpaiPjjPDRQyzqTRPVHkHWxc/view?usp=drive_link,,,
,19,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,שתי ידיים,עירד דורון,תבנית ליווי קבועה בשמאל | אלתורים בימין,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/12_YCyupLUiLm3Nyub63ZS-cflA01Trbw?usp=drive_link,https://drive.google.com/file/d/1ea0B3aTeeqwZC1SlUTk_jkY5QPNNVJzv/view?usp=drive_link,,,
,20,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,שתי ידיים,עירד דורון,תבנית ליווי קבועה בשמאל | אלתורים בימין,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1Hqm--sKG-c-M8sdn2VlSLWjESs7I5K9D?usp=drive_link,https://drive.google.com/file/d/1_Eo3xc9tVk46NVOFApw5XfR9uI2w0usT/view?usp=drive_link,,,
,21,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,שתי ידיים,עירד דורון,תבנית ליווי קבועה בשמאל | אלתורים בימין,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1G2mQ9OUklhDYzP2F_UpkB7U-vMdCTvVA?usp=drive_link,https://drive.google.com/file/d/1oVye8063Qvp8i21erYJYfP82W3J2eakL/view?usp=drive_link,,,
,22,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,שתי ידיים,עירד דורון,תבנית ליווי קבועה בשמאל | אלתורים בימין,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1AMQTZdH1GNKCfj1buTTc9b7RdthgE0eo?usp=drive_link,https://drive.google.com/file/d/1hxJNmhTUFtJPFbZKjpIu6lWGcHK-Vod5/view?usp=drive_link,,,
,23,,,Piano Score Playing,1,,,,,,,,,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1uwCoc3d_Y-L--YRkxmO05tm-E3nJHCHG?usp=drive_link,,,,
,24,תרגיל קריאת תווים,,Piano Score Playing,1,,מתחילים,,רבע,,Lead Sheet,עירד דורון,מתאים לנגינה עם שורשים | פירוקים | וטכניקות ליווי בסיסיות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1OMLcPEBJNKSfo4zyrSYzPb6P_hgc-N1A?usp=drive_link,https://drive.google.com/file/d/1pYAjmAEHPmVRd0bDRO4kq9MAxx19pQxk/view?usp=drive_link,https://drive.google.com/file/d/1EkHW8beMXNXtGl3A8jwU5wS9uhIHxDe3/view?usp=drive_link,https://drive.google.com/file/d/1CZk2eOSBi0BioTw5BjKX9L8xKFeylr9p/view?usp=drive_link,
,25,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה שנייה,שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור שלמים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1TDWPar7plXGZhU8lrwMdN9dwGe4c8N8r?usp=drive_link,https://drive.google.com/file/d/1PSyAQUA0keMDOgyRriTmR-IMzXI6ruTb/view?usp=drive_link,,,
,26,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה,שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור שלמים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1kjCLwNb4580QwX7xNGeAXWkA1CrW1xHn?usp=drive_link,https://drive.google.com/file/d/1I2WzR66IW5K85JG-PKJ-q_KZ2OV11upp/view?usp=drive_link,,,https://drive.google.com/file/d/1sw2pDYT3Awvt5_mPdGq7mWtyGmeP0Vq2/view?usp=drive_link
,27,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור חצאים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1aCCmOAsVMIE0Mj32doI-XQlrpgAuFW0n?usp=drive_link,https://drive.google.com/file/d/1qDSbVBly_hlaMuww53xVIw0HP8mUoRUs/view?usp=drive_link,,,
,28,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור חצאים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1fxz1vBpQuj9OQXwxITycZE0P16wpeiw_?usp=drive_link,https://drive.google.com/file/d/1Hir2ZLB2DNiATpqmRoSCz9l0-sf19aEf/view?usp=drive_link,,,
,29,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור חצאים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1uFBD85-txpUoUqacmzNuGSr3j1V5V5Z7?usp=drive_link,https://drive.google.com/file/d/1iHtxWHmczbJnR7nZ08cO8phVKeDXComB/view?usp=drive_link,,,
,30,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,רבע | חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1fVVobaAgWpXmJYtd1TElkttpW0nDitOQ?usp=drive_link,https://drive.google.com/file/d/1oEe-HM1GgUnT08T-zsLlYya_HdqVx9cx/view?usp=drive_link,,,
,31,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה שנייה,רבע | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1ATvz7e6c7Ig7z1FtUcRn1LXrKg7nKYXu?usp=drive_link,https://drive.google.com/file/d/1V3_sNZxoapSmfn1dJS4JkiBkeW8iugfU/view?usp=drive_link,,,
,32,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה שנייה,רבע | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1pG0GJ9yrwI1_LHJ05oni3eN2c705jxoq?usp=drive_link,https://drive.google.com/file/d/1AuZASu8gTrsfNL1MhocuVhcdYNIWV16b/view?usp=drive_link,,,
,33,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,רבע | חצי,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1TZ5uW6nXwzoAFIFvJEckAi7OenFpP752?usp=drive_link,https://drive.google.com/file/d/1hGJ5WylK2_3wDEGxblAnE4a5W6DaBhQJ/view?usp=drive_link,,,
,34,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה שנייה,רבע | חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1tmOXr8OKnhsNr2Zdd6GbBbOJLQuDivLC?usp=drive_link,https://drive.google.com/file/d/1HrDSL6laZxqMT2ZiTgc1bvQyV53Cbkl4/view?usp=drive_link,,,
,35,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה שנייה,רבע | חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1dt49bQ0MwFgQHUptqb8aE9RoDjPoqIGn?usp=drive_link,https://drive.google.com/file/d/1qT0MqAWxTw8NpVTO6-JX29zoObdBCArS/view?usp=drive_link,,,
,36,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה שנייה,רבע | חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1arBBwh9UKL5dJ6hogmPclr-kjAKoJRhE?usp=drive_link,https://drive.google.com/file/d/1DJ_QX1O44ILwxXSahUsK8TfhaHzY9jPN/view?usp=drive_link,,,
13,37,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,רבע | חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1I5ngbEVnGVC0LyX-swpWZprk0zMNRnaV?usp=drive_link,https://drive.google.com/file/d/1NqHdianTP2GCbx_tzLawzu8IORiJY8ek/view?usp=drive_link,,,
12,38,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1el649s1zwBuCQQfvuLRZ9nNPJEhxbrRh?usp=drive_link,https://drive.google.com/file/d/1w8G7M16aksR5z54KHEq2zNFWet6bbysj/view?usp=drive_link,,,
14,39,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,רבע | חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/18q9DwWz4Edcqjyk8wRmk44_YvnaRhmgy?usp=drive_link,https://drive.google.com/file/d/1v1r1x6wQpfCPCl8XH5pyuCGXXWyHdwAA/view?usp=drive_link,,,
15,40,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,רבע | חצי | שלם,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/15LpC_0Y-T9GoYaq8dd5flqm7jAVoUbA5?usp=drive_link,https://drive.google.com/file/d/14N1TuAmxlPFzKHqo7JMivjXBu9ej4LdQ/view?usp=drive_link,,,
16,41,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1ydu8EiGzhgTHlIQAq7OtRKi3rc0Hqwlf?usp=drive_link,https://drive.google.com/file/d/1pK-6x4KG-tZ2Hs9SbI5EfRM-DeMWcO__/view?usp=drive_link,,,
17,42,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1AYy1TXCOgclY8XzUeopITHtc5oRJDUgm?usp=drive_link,https://drive.google.com/file/d/1oHoRrtqsBWMvZ-8TG8uL4uLrNXOrxjzl/view?usp=drive_link,,,
18,43,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1nvswd5ta5yxYjmjJ3OYviOgiJICUS7dP?usp=drive_link,https://drive.google.com/file/d/1eMxwG1Za3Hs3_wAh_fmayXEEvDriQJT3/view?usp=drive_link,,,
19,44,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/19rMr0UWIKO82NKEOAQq45i03PDbzhpQr?usp=drive_link,https://drive.google.com/file/d/1Xi4aBveshmeXaqDip1It3f2nzEoXRLfN/view?usp=drive_link,,,
20,45,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1Lc8VhPGSnO-d-xSW3zkBwU_qWu2u5jdw?usp=drive_link,https://drive.google.com/file/d/1I5YGcYOyMr0dcl9wPcgCqDOcGadrudYz/view?usp=drive_link,,,
21,46,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1an2baxbJ9DZmNNCY2UWEjZlBGydjA1lr?usp=drive_link,https://drive.google.com/file/d/1tFKd2Ls0qv5qzcCOEIxnqrxlmXbc4RDz/view?usp=drive_link,,,
22,47,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,רבע | חצי | שמינית | רבע מנוקד | קשת,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1ncVDBqi7Ir2EDOOvIe1hBsIAIf0eQz2d?usp=drive_link,https://drive.google.com/file/d/1yXUos7wYt9c1tCH1oYoLE0sERUaefzYr/view?usp=drive_link,,,
23,48,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1bmx3RB50wqR_jPSISkP41PK09Aq9zrTY?usp=drive_link,https://drive.google.com/file/d/1e3JUyub05t9q1GOVIhzJnBpe_-klPx1u/view?usp=drive_link,,,
24,49,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1T4QLN8AvNe_IW-5qIYKi3QoGZcy9kmkr?usp=drive_link,https://drive.google.com/file/d/1Zm0aMnNgUqado1mgIFbjnDmQ2PeeNomR/view?usp=drive_link,,,
25,50,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1hRPNINvRov6ObVAUdWNe3jRz6lNrbEbv?usp=drive_link,https://drive.google.com/file/d/1j2FRdsvCZQ9dh12y6CrMsFfBxES1_bEn/view?usp=drive_link,,,
26,51,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1kCDjzkb8hm_DX7oqIPHtmsGE-m7F54Ec?usp=drive_link,https://drive.google.com/file/d/1p7VUbMF1wc8PFzCB9Tj0wdvbyAmUvNmb/view?usp=drive_link,,,
27,52,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1tTbz6PXCKrR2MiHYJ6mHFcareNx9zi2-?usp=drive_link,https://drive.google.com/file/d/1xSKuv0WKh_yTV2STgu_2qn8r6EwhSSma/view?usp=drive_link,,,
28,53,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1oz4iiXFgdk1OIPPNqvJZhKx4vALsWhjA?usp=drive_link,https://drive.google.com/file/d/1_eNUPl2tl83LBHpLZOP7ZVrxMuJd90bf/view?usp=drive_link,,,
29,54,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1oz4iiXFgdk1OIPPNqvJZhKx4vALsWhjA?usp=drive_link,https://drive.google.com/file/d/1E-EhMS5U4Wjo4La42h93cagNnPizVICD/view?usp=drive_link,,,
30,55,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1Fsg2enTFjFM4O72uTVRWKF6bh6b2Bh1z?usp=drive_link,https://drive.google.com/file/d/1pDxzDEIXWPLaeG672DjOifrRfBcT3-5V/view?usp=drive_link,,,
31,56,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים מנוקדים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1zPuboyusZrsYip-OusKADPPYT3nA4daL?usp=drive_link,https://drive.google.com/file/d/1CJCnHAWCWnRQRjW_wEHEWSzc6156mmaG/view?usp=drive_link,,,
32,57,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1ObHTRVWQl5BWuzibrvlL5V63FRRllKHH?usp=drive_link,https://drive.google.com/file/d/17-3P_n9Fu0BelYbh3MxHJPV_ySzHGKb3/view?usp=drive_link,,,
33,58,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1umNKVObGnpuFJMbM0IgDEiYZMwrPx2rr?usp=drive_link,https://drive.google.com/file/d/1yHyGh_GASkZUbVxXx8dankyZ8kyvhoH5/view?usp=drive_link,,,
34,59,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1umNKVObGnpuFJMbM0IgDEiYZMwrPx2rr?usp=drive_link,https://drive.google.com/file/d/1PRQ3qL5fXaiHpwBJ8wJ4fpg0SVQaqEF8/view?usp=drive_link,,,
35,60,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור שמיניות,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/1hYuisLjASKgpGYFJiJgM7I6NDAyx44bF?usp=drive_link,https://drive.google.com/file/d/1WVeoKR4h5R8SkiAvoNggPL4Ux9lJJqEZ/view?usp=drive_link,,,
36,61,תרגיל אלתור,,Piano Score Playing,1,,מתחילים,אוקטבה ראשונה ושנייה,,,Lead Sheet,עירד דורון,תרגיל לאלתור רבעים,,,,,,,,,,,,,,,,,https://drive.google.com/drive/folders/17vWGvlxs1CA-naQ2JuyrXVpXzC9Qwovw?usp=drive_link,https://drive.google.com/file/d/1RjDn5wVwBINHOv4-Qvs_84XKa-35YQ6v/view?usp=drive_link,,,
