_id,systemId,name,seriesIds,courseState,authorIds,betaDocLink,betaDriveFolder,thumbRelativePath,shortDescription,longDescription,mainGoal,mainSubjects,difficulty,age,tags,prerequisites,price,xp,skillsComponentsXp,createdAt,updatedAt,levelSystemId,levelTitle,levelSortDescription,levelLongDescription,stepSystemId,stepTitle,stepShortDescription,stepLongDescription,screenSystemId,screenTitle,screenType,learningTimeInSeconds,elementType,elementSystemId,elementContent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,המונח ״גובה״ של צלילים מתאר את היחס שלהם אחד מהשני.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"זה כמו מספרים. כמו שנגיד שהמספר 2 הוא גדול יותר מ- 1, וקטן יותר מ- 3, כך נתאר גם צלילים."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"הצליל רה גבוה מהצליל דו, ונמוך מהצליל מי."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,אם ניקח שני צלילים נוכל לומר שאחד גבוה מהשני. כך מתארים את היחס בין צלילים.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,5,זה מונח שנמצא בשפה שלנו. שמעתם פעם מישהו עם קול נמוך? אתם יודעים מה זה אומר? אולי שמעתם פעם מישהי עם קול גבוה? זה בדיוק זה.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,6,בהמשך נראה איך זה בא לידי ביטוי על הפסנתר.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,7,תראו את הסרטון:
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,youtubeVideo,8,link: https://youtu.be/0galWqxAo-Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,המשך מבנה המקלדת,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,מקלדת הפסנתר כאמור מורכבת מקלידים לבנים וקלידים שחורים.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"אפשר לראות שיש סדר מסוים במבנה של המקלדת. הקלידים מסודרים אחד אחרי השני, ולפעמים בין קלידים לבנים יש קלידים שחורים, ולפעמים אין."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"התבנית הזאת יוצרת מבנה שיש זוג קלידים שחורים קרובים, אחר כך רווח, ואז עוד קבוצה של שלושה קלידים שחורים, ושוב רווח. יש תבנית קבועה!"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,"הקלידים השחורים מסודרים בקבוצות של 2, 3 ושוב 2 ושוב 3. כך לאורך כל המקלדת."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,5,"בעזרת המבנה המיוחד הזה שחוזר על עצמו, אנחנו יכולים לדעת את השמות של הקלידים."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,שמות הקלידים,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,כשאומרים ״שם קליד״ הכוונה לשם של הצליל שאותו קליד מייצר.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"כדי לדעת את השמות של הקלידים הלבנים, צריך לראות איפה הם נמצאים ביחס לקלידים השחורים."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,בואו נראה דוגמה.
,,,,,,,,,,,,,,,,,,,,,,,,,,2,דו אמצעי,היכרות עם הצליל ״דו״,נלמד למצוא ולנגן את הצליל ״דו״ בכל מקלדת הפסנתר,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מציאת דו,info,30,paragraph,1,נתחיל עם הקבוצה דו. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"אמרנו שכל קבוצת צלילים, ולכן גם הקבוצה דו, מכילה הרבה צלילים, שלכולם נקרא ״דו״. לפי שם הקבוצה."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"כדי למצוא את הצלילים מהקבוצה דו, נחפש זוג קלידים שחורים קרובים, והקליד הלבן שמצד שמאל אליהם - זה הצליל דו. כלומר, אחד מהצלילים מהקבוצה ״דו״."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,דו אמצעי,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,"יש דו אחד מיוחד, שלרוב לומדים אותו ראשון."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,הדו הזה נקרא דו אמצעי.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"כדי למצוא אותו, הושיטו יד ממש לאמצע הפסנתר שלכם, ואז תנגנו את הדו הכי קרוב לשם. זה דו אמצעי."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,4,"אם נגיד לכם לנגן את דו אמצעי, עכשיו תדעו איך לעשות את זה."
,,,,,,,,,,,,,,,,,,,,,,2,כל הקלידים הלבנים,בסוף השלב נדע למצוא את כל הקלידים הלבנים,"נעבור צליל אחר צליל, נלמד למצוא אותם במקלדת ולנגן אותם",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1,הצליל רה,היכרות עם הצליל ״רה״,נלמד למצוא ולנגן את הצליל ״רה״ בכל מקלדת הפסנתר,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מציאת רה,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,איפה רה נמצא? מעל דו. כלומר מימין לדו.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"אם אתם יודעים למצוא את דו, אתם תדעו למצוא את רה - תנגנו קליד אחד מימין."
,,,,,,,,,,,,,,,,,,,,,,,,,,2,הצליל מי,היכרות עם הצליל ״מי״,נלמד למצוא ולנגן את הצליל ״מי״ בכל מקלדת הפסנתר,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מציאת מי,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,"איפה מי נמצא? מעל רה. אם אתם יודעים למצוא את רה, אתם יודעים למצוא את מי. נגנו קליד אחד מימין."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,עוד דרך למצוא את מי היא למצוא זוג קלידים שחורים ולנגן את הקליד הלבן שנמצא מימין להם.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"הדרך הזאת דומה לדרך שמצאנו את דו. דו נמצא משמאל לזוג קלידים שחורים, ומי נמצא מימין לזוג קלידים שחורים."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,נגינה ביחד,exercise,300,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,נגנו עם המדריך את התרגיל
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,craftiroExercise,2,14
,,,,,,,,,,,,,,,,,,,,,,,,,,3,הצליל פה,היכרות עם הצליל ״פה״,נלמד למצוא ולנגן את הצליל ״פה״ בכל מקלדת הפסנתר,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מציאת פה,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,את פה אפשר למצוא בעזרת הקבוצה של שלושה קלידים שחורים.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,הקליד הלבן משמאל לשלושה שחורים - זה הצליל פה.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,"אם אתם מכירים את הצליל מי, אז אפשר למצוא את פה בעזרתו. פה נמצא מימין לצליל מי. קליד אחד למעלה."
,,,,,,,,,,,,,,,,,,,,,,,,,,4,הצליל סול,היכרות עם הצליל ״סול״,נלמד למצוא ולנגן את הצליל ״סול״ בכל מקלדת הפסנתר,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מציאת סול,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,את סול נוח למצוא בעזרת הקבוצות של שלושה קלידים שחורים.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,בין שלושת הקלידים השחורים יש שני קלידים לבנים. הקליד הלבן השמאל - זה הצליל סול.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,אפשר גם למצוא את סול מעל הצליל פה. קליד אחד ימינה.
,,,,,,,,,,,,,,,,,,,,,,,,,,5,הצליל לה,היכרות עם הצליל ״לה״,נלמד למצוא ולנגן את הצליל ״לה״ בכל מקלדת הפסנתר,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מציאת לה,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,גם את לה נוח למצוא בעזרת הקבוצה של שלושה קלידים שחורים.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,"אם נסתכל על הקבוצה של שלושה קלידים שחורים, נראה שיש ביניהם שני קלידים לבנים."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,הקליד הלבן הימין - זה הצליל לה.
,,,,,,,,,,,,,,,,,,,,,,,,,,6,הצליל סי,היכרות עם הצליל ״סי״,נלמד למצוא ולנגן את הצליל ״סי״ בכל מקלדת הפסנתר,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,מציאת סי,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,הצליל השביעי והאחרון שלנו! הצליל סי.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,אותו אפשר למצוא מימין לכל קבוצה של שלושה קלידים שחורים.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,אפשר גם למצוא אותו לפי הצליל דו. סי נמצא קליד אחד משמאל לדו.
,,,,,,,,,,,,,,,,,,,,,,,,,,7,כל הקלידים הלבנים,חזרה על כל הקלידים הלבנים,נתרגל את מציאת כל הקלידים הלבנים ונגינה שלהם,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,חזרה,info,30,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,1,למדנו למצוא את כל הקלידים הלבנים! מהצליל דו ועד הצליל סי. למדנו גם למצוא דו אחד מיוחד שנקרא דו אמצעי.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,2,עבודה טובה!
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,paragraph,3,עכשיו נעשה חזרה על הכל.
,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,
